EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:39:55  ek9       8.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm125/18/spect/Turb_hdf5_plt_cnt_0348_spect_mags.dat
2023-03-19 12:39:56  ek9     100.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/288/spect/Turb_hdf5_plt_cnt_0760_spect_mags.dat
2023-03-19 12:39:57  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm10/18/plt/Turb_hdf5_plt_cnt_0027
2023-03-19 12:39:59  ek9       8.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/18/spect/Turb_hdf5_plt_cnt_0380_spect_mags.dat
2023-03-19 12:40:07  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/18/plt/Turb_hdf5_plt_cnt_0012
2023-03-19 12:40:14  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpd0jg2m6r/tex.cache/6f5a1829ef8328dba9576626c19c3dc3.tex
2023-03-19 12:40:14  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm125/36/plt/Turb_hdf5_plt_cnt_0234
2023-03-19 12:40:15  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm2/36/plt/Turb_hdf5_plt_cnt_0100
2023-03-19 12:40:16  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpmhuy_qqq/tex.cache/e28eeacbf0784f65c66a2253dfb29da5.png
2023-03-19 12:40:17  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpoa8ao3wb/tex.cache/a2ca1f63acc33ad0c6b49bc83e291981.tex
2023-03-19 12:40:19  ek9      10.0M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm50/72/plt/Turb_hdf5_plt_cnt_0935
2023-03-19 12:40:24  ek9     104.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/288/spect/vis_folder/spectra=0390.png
2023-03-19 12:40:24  ek9      28.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/72/spect/Turb_hdf5_plt_cnt_0230_spect_vels.dat
2023-03-19 12:40:25  ek9     200.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm4/18/plt/Turb_hdf5_plt_cnt_0838
2023-03-19 12:40:29  ek9     204.0K  /scratch/ek9/nk7952/Re10/super_sonic/Pm125/18/plt/Turb_hdf5_plt_cnt_0149
2023-03-19 12:40:30  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm10/18/plt/Turb_hdf5_plt_cnt_0531
2023-03-19 12:40:34  ek9     204.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm5/18/plt/Turb_hdf5_plt_cnt_0477
2023-03-19 12:40:38  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm1/36/plt/Turb_hdf5_plt_cnt_0209
2023-03-19 12:40:39  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/72/plt/Turb_hdf5_plt_cnt_0288
2023-03-19 12:40:41  ek9     200.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0261
2023-03-19 12:40:44  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm4/144/Turb_hdf5_plt_cnt_1041
2023-03-19 12:40:44  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpg9msqpnj/tex.cache/1a36f56d10799e0051d8e3378495190c.dvi
2023-03-19 12:40:47  ek9      10.0M  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/72/plt/Turb_hdf5_plt_cnt_0656
2023-03-19 12:40:47  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp75dx5h0g/tex.cache/a3fa08e28409d8ec60978a6746bec514.dvi
2023-03-19 12:40:48  ek9     100.0K  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/288/spect/Turb_hdf5_plt_cnt_0140_spect_mags.dat
2023-03-19 12:40:49  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm1/144/plt/Turb_hdf5_plt_cnt_0209
2023-03-19 12:40:50  ek9      10.0M  /scratch/ek9/nk7952/Re500/sub_sonic/Pm4/72/plt/Turb_hdf5_plt_cnt_0947
2023-03-19 12:40:50  ek9      79.8M  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/144/plt/Turb_hdf5_plt_cnt_0045
2023-03-19 12:40:53  ek9     204.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm25/18/plt/Turb_hdf5_plt_cnt_0354
2023-03-19 12:41:09  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm1/144/Turb_hdf5_plt_cnt_1171
2023-03-19 12:41:11  ek9      10.0M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm250/72/plt/Turb_hdf5_plt_cnt_0823
2023-03-19 12:41:21  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/144/Turb_hdf5_plt_cnt_1280
2023-03-19 12:41:23  ek9     100.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/288/spect/Turb_hdf5_plt_cnt_0342_spect_mags.dat
2023-03-19 12:41:27  ek9       8.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/18/spect/Turb_hdf5_plt_cnt_0596_spect_mags.dat
2023-03-19 12:41:32  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp3c8fcas2/tex.cache/019c9a5714a270dc184eedcc21886b55.dvi
2023-03-19 12:41:34  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm50/36/plt/Turb_hdf5_plt_cnt_0336
2023-03-19 12:41:35  ek9      16.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/36/spect/Turb_hdf5_plt_cnt_0566_spect_vels.dat
2023-03-19 12:41:40  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp_ljqtyu8/tex.cache/7fa127e80e5308b03a2ffa17f8cfda3a.png
2023-03-19 12:41:41  ek9     200.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0020
2023-03-19 12:41:45  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp6z4v_x2n/tex.cache/ad534d949771ef09a0bba369fa22b649.dvi
